"level";"id";"parent_id";"object_id";"object_type";"object_key";"query_status";"query_time";"query_type";"message";"from";"created_time";"updated_time";"full_picture";"comments.summary.total_count";"shares.count";"reactions.summary.total_count";"like.summary.total_count";"love.summary.total_count";"wow.summary.total_count";"haha.summary.total_count";"sad.summary.total_count";"angry.summary.total_count"
"0";"1";"None";"michelleobama";"seed";"";"";"None";"None";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"2";"1";"22092775577_10165581106510578";"data";"data.*";"fetched (200)";"2021-07-25 16:03:11.568759";"Facebook:/<page-id>/posts";"A year ago today, we lost a civil rights hero: Congressman John Lewis. As we celebrate the king of good trouble—his legacy of perseverance; his ability to find moments of joy and lightness in the midst of real struggle—we should also recommit ourselves to building the future he envisioned. All across our country, the sacred right to vote that he marched and bled for is being threatened. That’s why we’ve got to do everything in our power to pass the #ForThePeopleAct and the #JohnLewis Voting Rights Advancement Act. Everyone deserves to have their voices heard and their votes counted, and I can’t think of a better way to honor Congressman Lewis than by turning these bills into law.";"{""name"": ""Michelle Obama"", ""id"": ""22092775577""}";"2021-07-17T15:00:40+0000";"2021-07-25T05:25:46+0000";"https://scontent.fdac23-1.fna.fbcdn.net/v/t39.30808-6/s720x720/217540216_10165581104035578_1017699227690764877_n.jpg?_nc_cat=109&ccb=1-3&_nc_sid=8024bb&_nc_eui2=AeFtdtgp5t5PWKuqBgUihq-611PNegB8PAbXU816AHw8BoCtP4MNdIeIVL8rQZW3mgLl3AfW8X-TSTRv67neME8X&_nc_ohc=uxrNkNCBLBwAX-RJn5j&_nc_ht=scontent.fdac23-1.fna&oh=57289e55f279e985473ecb69df36d85d&oe=6101A86A";"1021";"5796";"63591";"50322";"12577";"36";"29";"624";"3"
"1";"3";"1";"22092775577_10165567083355578";"data";"data.*";"fetched (200)";"2021-07-25 16:03:11.568759";"Facebook:/<page-id>/posts";"I'm excited to announce that Philadelphia will be our next partner city for our Pass the Love campaign with Partnership for a Healthier America! We’ll be distributing healthy meal kits to families soon, and with your support, we can reach even more families in need. Donate at WafflesAndMochi.org.";"{""name"": ""Michelle Obama"", ""id"": ""22092775577""}";"2021-07-13T13:39:59+0000";"2021-07-25T05:28:55+0000";"https://scontent.fdac23-1.fna.fbcdn.net/v/t15.5256-10/216240015_145705304316497_8203584342291881861_n.jpg?_nc_cat=104&ccb=1-3&_nc_sid=ad6a45&_nc_eui2=AeFdugOrL7JwKCUw9lGLupni-xa7HGvNR7D7Frsca81HsGdgXfrwF4e31xOHpPsRkQv1Mhvb_BMItSFOQYbO6InA&_nc_ohc=oC_fqNYhzDsAX8Nw8Mp&_nc_ht=scontent.fdac23-1.fna&oh=532fa3fe67a3e8ded94e3a3e2f59bbea&oe=610293BF";"673";"987";"16881";"14011";"2832";"13";"20";"2";"3"
"1";"4";"1";"22092775577_10165563892910578";"data";"data.*";"fetched (200)";"2021-07-25 16:03:11.568759";"Facebook:/<page-id>/posts";"During quarantine, I picked up knitting as a hobby—and discovered how fulfilling it can be to turn small stitches into something big and beautiful. I started off making tops for my girls, and realized I still had a lot more to learn. That’s why I had such a great time getting some advice from The Rose Reporter, a 14-year-old reporter with Vogue Knitting Magazine about the process. Hope you’ll take a listen!";"{""name"": ""Michelle Obama"", ""id"": ""22092775577""}";"2021-07-12T15:31:15+0000";"2021-07-25T05:31:46+0000";"https://scontent.fdac23-1.fna.fbcdn.net/v/t15.5256-10/204070224_723075475083501_762279719682022092_n.jpg?_nc_cat=105&ccb=1-3&_nc_sid=ad6a45&_nc_eui2=AeFfRrpzP8lL23BW0W2Xg8dLDlumLqbrBmQOW6YupusGZPCbuZeqGEO5ziuuQAhMGUudjNJl4-pTpNwR_avP10L6&_nc_ohc=-0Wa3BAWW6MAX8jNJnv&_nc_ht=scontent.fdac23-1.fna&oh=c034baba85e123e345adedbdfc0fc0bf&oe=6102DA7D";"342";"457";"9193";"7559";"1604";"13";"15";"0";"2"
"1";"5";"1";"22092775577_10165563504890578";"data";"data.*";"fetched (200)";"2021-07-25 16:03:11.568759";"Facebook:/<page-id>/posts";"A year after she was attacked, Malala came to visit the White House. She told us about her hopes and dreams, how much her education meant to her, and how much she planned on doing with it. I remember feeling inspired by her conviction, curious to know what she would do next.    Over the years, I’ve followed Malala’s story—from her address at the United Nations, to her mentorship of younger girls and her pursuit of a college degree—and through all of this, one thing is clear: Malala embodies the woman she told us she wanted to be when she sat with us in the Oval Office that day. Bright, beautiful, full of light and laughter, Malala has proven how much an education can bring out your best qualities; how much it can lift us all up.   Her example has inspired a lot of my own work at the Girls Opportunity Alliance. And as she often points out, there are so many girls like her all around the world, all of whom deserve a chance to learn and grow and blossom into the kind of women they want to be. That’s what we are celebrating today on #MalalaDay—and so I hope you’ll all join me in wishing this very special young woman a happy birthday.  Photo Credit: Malala Fund";"{""name"": ""Michelle Obama"", ""id"": ""22092775577""}";"2021-07-12T13:02:16+0000";"2021-07-25T03:47:22+0000";"https://scontent.fdac23-1.fna.fbcdn.net/v/t39.30808-6/p480x480/217857330_10165563504615578_4290517927177544028_n.jpg?_nc_cat=102&ccb=1-3&_nc_sid=8024bb&_nc_eui2=AeGj3PGIIGvmvRz-QWzzRjwde6YmBB5VFHt7piYEHlUUeyB3XZCdMVCIarvMD5Nm43HfHpC53DQPZEWmcnZxiV8q&_nc_ohc=Zb5lA_JZ5X8AX9boS4T&_nc_ht=scontent.fdac23-1.fna&oh=3940dcf0d5cd9ae76c2e56da84391de0&oe=61019BE2";"5056";"5304";"107248";"78766";"28305";"61";"86";"14";"16"
"1";"6";"1";"22092775577_10165554563855578";"data";"data.*";"fetched (200)";"2021-07-25 16:03:11.568759";"Facebook:/<page-id>/posts";"Barack and I had a great time speaking with Chis Nee, Peter Ramsey, and HER Music about We The People, our latest series from Higher Ground. We talked about the power of music in educating young people and about what it takes to encourage the next generation to get involved in our democracy. We hope you’ll check it out on Netflix!";"{""name"": ""Michelle Obama"", ""id"": ""22092775577""}";"2021-07-09T20:02:22+0000";"2021-07-25T08:05:26+0000";"https://scontent.fdac23-1.fna.fbcdn.net/v/t15.5256-10/213170671_1187742511742557_2252782265740991521_n.jpg?_nc_cat=109&ccb=1-3&_nc_sid=ad6a45&_nc_eui2=AeEnMS5EzXp2R6z6_YriRqDuZsbrdtyni7dmxut23KeLt2JyBE3NUyR6ytlTSXmaDinnhfgb7cXlzBKr4EFHIfx6&_nc_ohc=KcFViGq9U8MAX_C9sAa&_nc_ht=scontent.fdac23-1.fna&oh=2895722d63522cf1028971fc040ef5af&oe=6102C964";"510";"1007";"16287";"12909";"3346";"15";"15";"0";"2"
"1";"7";"1";"22092775577_10165553487680578";"data";"data.*";"fetched (200)";"2021-07-25 16:03:11.568759";"Facebook:/<page-id>/posts";"Yes, Zaila! We are so, so proud of you! 👏🏾";"{""name"": ""Michelle Obama"", ""id"": ""22092775577""}";"2021-07-09T13:38:50+0000";"2021-07-25T00:04:59+0000";"https://scontent.fdac23-1.fna.fbcdn.net/v/t15.5256-10/201194502_158068689614098_6263067652423200983_n.jpg?_nc_cat=103&ccb=1-3&_nc_sid=ad6a45&_nc_eui2=AeG6AZZzZGlMgg9Zz5qvpzwYzWk-10YaIbTNaT7XRhohtC2qwBLdydgaCEVIXcvIlMGhSh06FoMCPsSpYnT4rQhi&_nc_ohc=uvUTku69FhUAX_JmAt4&_nc_ht=scontent.fdac23-1.fna&oh=92252f6e3cdc4dcf219a1c0006aba76a&oe=61024479";"4161";"7478";"101053";"61291";"39463";"272";"24";"2";"1"
"1";"8";"1";"22092775577_10165544364120578";"data";"data.*";"fetched (200)";"2021-07-25 16:03:11.568759";"Facebook:/<page-id>/posts";"Today would have been Nancy Reagan’s 100th birthday, and I’m happy to join with so many others in celebrating her life. This picture was taken during our family’s first year in the White House, and I always smile when I think about this day. I’d asked Nancy to come by for a lunch, just the two of us. Being First Lady is such a unique experience, and hearing about her journey couldn’t have been more meaningful for me. She so warmly and willingly offered her advice and encouragement—and I’ll always be thankful for her kindness and generosity over the years.";"{""name"": ""Michelle Obama"", ""id"": ""22092775577""}";"2021-07-06T23:30:15+0000";"2021-07-24T02:29:48+0000";"https://scontent.fdac23-1.fna.fbcdn.net/v/t39.30808-6/s720x720/215324836_10165544269965578_9190193080354648759_n.jpg?_nc_cat=104&ccb=1-3&_nc_sid=8024bb&_nc_eui2=AeEV0tmW2HzYt0nAnN_mH5Nwvmzm_Xib3K6-bOb9eJvcrmz_3WzHaibMPcl4cw4uermL1_QbJE4vkwC6vFhdaEEo&_nc_ohc=RBzhjVeJYr0AX_Msv-9&_nc_ht=scontent.fdac23-1.fna&edm=ALdPpPkEAAAA&oh=a6db44451d5c9f95517c955852bc4086&oe=61032544";"4667";"5744";"209329";"162236";"46647";"269";"86";"31";"60"
"1";"9";"1";"22092775577_10165534968990578";"data";"data.*";"fetched (200)";"2021-07-25 16:03:11.568759";"Facebook:/<page-id>/posts";"Happy Fourth of July, everybody—and also, happy 23rd birthday to our dear Malia! It’s been a few years since we took this photo, but I know that she’ll always be my sweet little girl whose big hugs and big heart always lift up my day. Malia, we love you, and are so excited to see what this year will bring for you!";"{""name"": ""Michelle Obama"", ""id"": ""22092775577""}";"2021-07-04T13:16:17+0000";"2021-07-25T02:29:32+0000";"https://scontent.fdac23-1.fna.fbcdn.net/v/t1.6435-9/s720x720/212345926_10165534913220578_139905722223909699_n.jpg?_nc_cat=107&ccb=1-3&_nc_sid=8024bb&_nc_eui2=AeHNoYfq7kD8KgDLJON9nXIqSExDoy6BdrtITEOjLoF2uxbK2LtupGOLGLBA9aEfNXhYR-YT9eS5Ixb0ViQ-wmUo&_nc_ohc=OFGm91hyejEAX-CL4oT&_nc_ht=scontent.fdac23-1.fna&edm=ALdPpPkEAAAA&oh=b7e795b570d798eb613a22584f1b736c&oe=612425B6";"44639";"5548";"458882";"345907";"112460";"219";"211";"20";"65"
"1";"10";"1";"22092775577_10165525976150578";"data";"data.*";"fetched (200)";"2021-07-25 16:03:11.568759";"Facebook:/<page-id>/posts";"When I heard about the impact that the COVID-19 resurgence was having on young girls in India, I was heartbroken. So many bright, determined girls are living in impossible circumstances. Many have lost their parents or have been taken out of school with little hope of returning. The effects of this pandemic continue to ripple outward—decimating so much hard-earned progress that girls’ education organizations have made around the world.  We’ve got to act fast to get these girls back on track. That’s why the Girls Opportunity Alliance is supporting three new organizations to help girls in India safely continue their education: Shadhika, Sukarya, and Rajasthan Samgrah Kalyan Sansthan RSKS INDIA. These organizations are providing scholarships, running health education programs, and empowering girls in rural communities. Their efforts go a long way toward ensuring that the pandemic doesn’t derail these girls’ dreams—and I hope you’ll do what you can to support them.";"{""name"": ""Michelle Obama"", ""id"": ""22092775577""}";"2021-07-01T20:15:06+0000";"2021-07-25T00:31:37+0000";"https://external.fdac23-1.fna.fbcdn.net/safe_image.php?d=AQELgS5bNnvtPBIN&url=https%3A%2F%2Fwww.obama.org%2Fwp-content%2Fuploads%2FSukarya-scaled.jpg&_nc_eui2=AeGqYdh0qfFo2iuL6W_zgFGKm4U8lUChmZCbhTyVQKGZkNPL93OcyoMd6xNNjHZBDWOXXRmFXyQhqIDtyyXnfbHo&ccb=3-5&_nc_hash=AQFkjvKlSFkGc2ma";"323";"601";"18918";"16511";"725";"38";"16";"1621";"7"
"1";"11";"1";"22092775577_10165521833645578";"data";"data.*";"fetched (200)";"2021-07-25 16:03:11.568759";"Facebook:/<page-id>/posts";"The first time I met Amy Sherald, our connection was instant. The way she carried herself—her presence, her poise, her confidence—all of it made me certain she was the artist I wanted to paint my first portrait after serving as First Lady.   Tonight, I’m looking forward to chatting with Amy and my friend Thelma Golden about representation in art as part of the #ObamaPortraitsTour, opening at The Art Institute of Chicago. I hope you’ll tune in at 6pm ET!";"{""name"": ""Michelle Obama"", ""id"": ""22092775577""}";"2021-06-30T16:30:37+0000";"2021-07-23T04:05:53+0000";"https://external.fdac23-1.fna.fbcdn.net/safe_image.php?d=AQF60u0NOTZWonL-&url=https%3A%2F%2Fartic-web.imgix.net%2Fnull8c20526c-a702-4d9f-b00b-65679d11e656%2FCopyofa-AM9T9828_v1_current.jpg%3Frect%3D0%252C432%252C5184%252C2916%26auto%3Dcompress%26fm%3Djpg%26q%3D80%26fit%3Dcrop%26crop%3Dfaces%252Cedges%252Centropy%26w%3D1200%26h%3D675%3Fw%3D1200%26h%3D675%26fit%3Dcrop&_nc_eui2=AeEogsh0H8fDpG-gu19tsUXxffsqHYyQ-kx9-yodjJD6TC_RwtmKb3fnr1ttQNGwgn6PP7Mt9dcw8BZ5lPIu0YF_&ccb=3-5&_nc_hash=AQGFouwr9bNRhzV8";"277";"616";"17441";"14729";"2661";"34";"15";"0";"2"
"1";"12";"1";"22092775577_10165516087920578";"data";"data.*";"fetched (200)";"2021-07-25 16:03:11.568759";"Facebook:/<page-id>/posts";"I'm so thrilled to hear the exciting news that YouTube's Creators for Change on Girls' Education Special won the award for Outstanding Daytime Non-Fiction Special at the Daytime Emmys. 💜   The special features some truly remarkable young women from the Girls Opportunity Alliance from countries like Namibia, India, and Vietnam. Liza Koshy, MostlySane, and Thembe Mahlaba visited our Girls Opportunity Alliance Network's work around the world to share these stories, which showcase how education can transform girls' lives and create ripple effects across communities.   You can watch the special here: www.youtube.com/watch?v=HzOPah2JzJE&t=574s 🎉";"{""name"": ""Michelle Obama"", ""id"": ""22092775577""}";"2021-06-28T19:01:41+0000";"2021-07-21T04:03:22+0000";"https://scontent.fdac23-1.fna.fbcdn.net/v/t1.6435-9/p480x480/209021528_10165516081780578_398877823157558769_n.jpg?_nc_cat=107&ccb=1-3&_nc_sid=8024bb&_nc_eui2=AeEXfwym-s6EDILP7JBixRQm7RCgtmx4gjDtEKC2bHiCMLMlPZHshKBJhNrh9o38FhC6fGpbtocb_fDDPie_AKnX&_nc_ohc=ryYATc9PVSkAX98gpGR&_nc_ht=scontent.fdac23-1.fna&oh=325b13d19c30b9e54994e0e2a8f2367f&oe=6121F887";"1486";"2149";"91847";"79402";"12301";"81";"47";"4";"12"
"1";"13";"1";"22092775577_10165508615130578";"data";"data.*";"fetched (200)";"2021-07-25 16:03:11.568759";"Facebook:/<page-id>/posts";"Congratulations to my friend, Conan O'Brien, on an incredible run. Thank you for bringing light and laughter into our homes for over 28 years—we’re all a little better off because of it. So excited to see where your next chapter takes you. 🎉";"{""name"": ""Michelle Obama"", ""id"": ""22092775577""}";"2021-06-26T17:16:26+0000";"2021-07-24T15:55:35+0000";"https://scontent.fdac23-1.fna.fbcdn.net/v/t1.6435-9/s720x720/207263090_10165508531845578_3709964777808960385_n.jpg?_nc_cat=111&ccb=1-3&_nc_sid=8024bb&_nc_eui2=AeEws-zzXSUYEE6COY1_rbT7peR6swtFHzql5HqzC0UfOplUWavvhpvJu8gjDk8zuqTFffIjugcTnRGAyeBJtYgw&_nc_ohc=1OHz8FI0dxkAX9Fh4Sn&_nc_ht=scontent.fdac23-1.fna&oh=2b4cc2b6f6d46ebf7e959df23c17c46d&oe=61242686";"1577";"1962";"136395";"115439";"20682";"116";"108";"23";"27"
"1";"14";"1";"22092775577_10165493436030578";"data";"data.*";"fetched (200)";"2021-07-25 16:03:11.568759";"Facebook:/<page-id>/posts";"Thrilled to announce that Detroit will be our latest partner city for the Pass the Love campaign with the Partnership for a Healthier America! We’ll be distributing healthy meal kits there soon, and with your help, we can reach even more families in need. I hope you’ll donate at WafflesAndMochi.org.";"{""name"": ""Michelle Obama"", ""id"": ""22092775577""}";"2021-06-22T13:00:49+0000";"2021-07-20T11:53:23+0000";"https://scontent.fdac23-1.fna.fbcdn.net/v/t15.13418-10/202019047_2892875287595735_2292805922253841233_n.jpg?_nc_cat=109&ccb=1-3&_nc_sid=ad6a45&_nc_eui2=AeGaYo-if8Rvd-9VknwN9xH225tuT5rZ9OXbm25Pmtn05T9XS7eRPjuEJHNEZpAjhwzcCXptKEWvE9tv9Fpq4oqT&_nc_ohc=ZTc1sJRgdMYAX87OpS0&_nc_ht=scontent.fdac23-1.fna&oh=9b1aea5c42d23643afc2b7ff812943d1&oe=61032031";"656";"1032";"19202";"15824";"3334";"10";"18";"3";"13"
"1";"15";"1";"22092775577_10165490841465578";"data";"data.*";"fetched (200)";"2021-07-25 16:03:11.568759";"Facebook:/<page-id>/posts";"If you care about our democracy and believe that everyone should have an equal right to vote, we need your voice—and we need it right now. Over the past few months, there’s been a movement in state legislatures all across the country to pass laws that make it harder for people to cast a ballot. That means we’ve got to pass the For the People Act before it’s too late. This bill is one of our best chances to stop these voter suppression efforts at the state level and enact national voting standards to ensure all of us have a say in our future—whether that’s issues like pandemic relief, criminal justice, immigration, healthcare, education, or anything else.  Together we can promote early voting, expand automatic voter registration, end gerrymandering, and strengthen everyone’s right to vote. So I hope you’ll call your senators right now and tell them to support the #ForThePeopleAct. Tag three friends to join you in calling their senators today: weall.vote/forthepeople";"{""name"": ""Michelle Obama"", ""id"": ""22092775577""}";"2021-06-21T20:30:27+0000";"2021-07-24T01:17:23+0000";"https://scontent.fdac23-1.fna.fbcdn.net/v/t1.6435-9/p720x720/204893264_10165490838695578_7072026649476839753_n.png?_nc_cat=103&ccb=1-3&_nc_sid=8024bb&_nc_eui2=AeG_z8RxPR_NLAOHGDKvq5-3LaePnOyCCmYtp4-c7IIKZs7Ir1_YsL8f6yJAKXVTrnPlrNN1lq-KnS8sMUlwoeWG&_nc_ohc=qnE6qkTkw5oAX9GqU31&_nc_ht=scontent.fdac23-1.fna&edm=ALdPpPkEAAAA&oh=c144b83238afe3baf272e497f19e3dc3&oe=6121AAED";"257";"1034";"10221";"8745";"1445";"10";"16";"1";"4"
"1";"16";"1";"22092775577_10165485364455578";"data";"data.*";"fetched (200)";"2021-07-25 16:03:11.568759";"Facebook:/<page-id>/posts";"Happy #FathersDay to all the dads out there—especially the one and only Barack Obama! Our daughters couldn’t have asked for a better role model. We’re so lucky to have you in our lives. 💗";"{""name"": ""Michelle Obama"", ""id"": ""22092775577""}";"2021-06-20T13:01:50+0000";"2021-07-21T21:09:09+0000";"https://scontent.fdac23-1.fna.fbcdn.net/v/t1.6435-9/p480x480/203902869_10165485288460578_392937666955696839_n.jpg?_nc_cat=103&ccb=1-3&_nc_sid=8024bb&_nc_eui2=AeHbNN8aEbFFPn_TrGWZp7CYDErgpMqqSN4MSuCkyqpI3uLADWbLz6NzNQqBHofHtvCgD-v1MnAokuv7Ea8-ejXg&_nc_ohc=UGRRoTw1jm0AX_hScGT&_nc_ht=scontent.fdac23-1.fna&oh=a2a057db629ca28d6bbb2916771fe27e&oe=61241BA4";"22993";"10697";"668577";"466630";"201320";"276";"273";"25";"53"
"1";"17";"1";"22092775577_10165481543240578";"data";"data.*";"fetched (200)";"2021-07-25 16:03:11.568759";"Facebook:/<page-id>/posts";"Let's celebrate #Juneteenth becoming a federal holiday by recognizing the generations of enslaved Black people who fought so hard for their freedom. And one of the best ways to do that is by fortifying our sacred right to vote.   Right now, we have the opportunity to enact voting reforms, expand voting rights, and stop dozens of voter suppression bills aimed at limiting Black and Brown Americans’ access to the ballot box by passing critical legislation like the #ForThePeopleAct. Make calls with When We All Vote: weall.vote/forthepeople";"{""name"": ""Michelle Obama"", ""id"": ""22092775577""}";"2021-06-19T15:55:29+0000";"2021-07-17T05:27:32+0000";"https://scontent.fdac23-1.fna.fbcdn.net/v/t1.6435-9/s720x720/203765168_10165481408485578_1720078169371820885_n.png?_nc_cat=101&ccb=1-3&_nc_sid=8024bb&_nc_eui2=AeEfzhBlF03iqRj849D0z2SstFQZmg6nq8m0VBmaDqerySu2lFwQ6AsCiSopefMZW1npbq9-n_P-P_vxzN3TuOMH&_nc_ohc=imvR17QpUK8AX8Ox_tK&_nc_ht=scontent.fdac23-1.fna&oh=62ac114bc810bccb7033b104f573cc2d&oe=61244F78";"549";"2550";"40499";"31890";"8539";"23";"29";"3";"15"
"1";"18";"1";"22092775577_10165477939710578";"data";"data.*";"fetched (200)";"2021-07-25 16:03:11.568759";"Facebook:/<page-id>/posts";"I can’t wait for you all to see #Fatherhood, our latest project from Higher Ground! I love this film because it reminds me of all those families out there who lift each other up when things get tough—and I have a feeling you’ll end up loving it as much as I did. Watch it today on Netflix.";"{""name"": ""Michelle Obama"", ""id"": ""22092775577""}";"2021-06-18T20:32:11+0000";"2021-07-21T07:50:45+0000";"https://scontent.fdac23-1.fna.fbcdn.net/v/t15.5256-10/201058863_1032748470866221_3330675847937717926_n.jpg?_nc_cat=102&ccb=1-3&_nc_sid=ad6a45&_nc_eui2=AeH8gGVkpAdFTCTN732OZx2oemfwoJPsVC16Z_Cgk-xULT5woQLTlvj3ZF0YtebAShq8uTEIJQwPzBzpbDrPdcsi&_nc_ohc=QmPQu0TklC0AX9aWe-i&_nc_ht=scontent.fdac23-1.fna&oh=3cdbe788e5fba8f0136ab9c44484f4da&oe=610177F7";"1661";"2766";"29425";"21338";"7902";"34";"131";"12";"8"
"1";"19";"1";"22092775577_10165477245305578";"data";"data.*";"fetched (200)";"2021-07-25 16:03:11.568759";"Facebook:/<page-id>/posts";"It’s almost #FathersDay, so I’m thinking a lot about my dad: his baritone voice, his laugh that filled up the room, the way he always knew how to set the right mood by spinning up the perfect record. My father gave great advice, taught me the value of hard work, encouraged me to ask questions, and always gave me the space to do so. I always thought he was so cool—just look at this photo!   I’d love to hear about the fathers in your life who’ve helped you become who you are today—what qualities you value in them, what makes them unique, and what the best advice they’ve given you has been. #Fatherhood";"{""name"": ""Michelle Obama"", ""id"": ""22092775577""}";"2021-06-18T17:30:29+0000";"2021-07-19T14:51:12+0000";"https://scontent.fdac23-1.fna.fbcdn.net/v/t1.6435-9/s720x720/202636246_10165477213330578_482760782456270243_n.jpg?_nc_cat=100&ccb=1-3&_nc_sid=8024bb&_nc_eui2=AeF2GgtHxueSSiAvSzUfwgdHJgbsrfA9iHImBuyt8D2IcvaMpghfIhdtqy2ugFB-BYa-Z8p9QVnGmacSa8GyZxWU&_nc_ohc=HlPsDqUbaWAAX_N_Tkr&_nc_ht=scontent.fdac23-1.fna&oh=3b59cf50566b12d2e4e8926cb10f14bc&oe=6123D638";"4584";"2663";"193832";"144565";"49044";"118";"70";"25";"10"
"1";"20";"1";"22092775577_10165474028190578";"data";"data.*";"fetched (200)";"2021-07-25 16:03:11.568759";"Facebook:/<page-id>/posts";"As I traveled the world as First Lady, I saw again and again how important a father’s support can be to help their daughters pursue their education, especially in countries where girls often face barriers to going to school.  So ahead of #FathersDay, the Girls Opportunity Alliance is spotlighting fathers who are supporting their daughters’ education and dreams. You’ll meet dads like Cường in Vietnam, who is supporting his daughter’s goal to become a businesswoman, and Daniel in rural Peru, who saved to get a cellphone for his daughter so that she could keep learning remotely during the pandemic. And you’ll learn why dads like Eric in South Africa and Nixon in Kenya believe deeply that all fathers should support their daughters’ ambitions. I hope you’ll read their stories, and then I hope you’ll take action by supporting organizations in the Girls Opportunity Alliance to lift up girls and families like these. 💜";"{""name"": ""Michelle Obama"", ""id"": ""22092775577""}";"2021-06-17T20:34:29+0000";"2021-07-07T01:12:15+0000";"https://external.fdac23-1.fna.fbcdn.net/safe_image.php?d=AQEnPNUFeTxwdoU_&url=https%3A%2F%2Fwww.obama.org%2Fwp-content%2Fuploads%2F20200319-SouthAfrica-0010-scaled.jpg&_nc_eui2=AeErjwdokKc_pw7hHJePzxB9YVc8ekX0gVJhVzx6RfSBUuy8PjhnVuNtqgieihbAaUmTu_YjZWf4qKPAhThXQ-tl&ccb=3-5&_nc_hash=AQEyQC4zCfJYnccl";"417";"888";"40048";"34155";"5855";"22";"13";"2";"1"
"1";"21";"1";"22092775577_10165443662625578";"data";"data.*";"fetched (200)";"2021-07-25 16:03:11.568759";"Facebook:/<page-id>/posts";"Happy birthday to my darling Sasha! I am so grateful for every laugh we’ve shared—and everything you’ve taught me over the years. You’ll always be my little girl, but I couldn’t be prouder of the woman you are becoming. Love you so much! 🎉🥳💗";"{""name"": ""Michelle Obama"", ""id"": ""22092775577""}";"2021-06-10T15:30:42+0000";"2021-07-22T11:56:44+0000";"https://scontent.fdac23-1.fna.fbcdn.net/v/t1.6435-9/s720x720/200108007_10165443628940578_4169334100721918839_n.jpg?_nc_cat=111&ccb=1-3&_nc_sid=8024bb&_nc_eui2=AeE-GILdU8V0Zd310TiT7BBYLMJ18xIN6qUswnXzEg3qpaqh6gY5MYJT8t5K-CGWoHQxDV1PPMSu-wr1yEc1LyVW&_nc_ohc=Z9bqdCbzW54AX-vZujV&_nc_ht=scontent.fdac23-1.fna&edm=ALdPpPkEAAAA&oh=6637aee4bb11fa4d7ae52c3412cbe61b&oe=6122C4D9";"115995";"9856";"781184";"554258";"225551";"251";"957";"40";"127"
"1";"22";"1";"22092775577_10165422167025578";"data";"data.*";"fetched (200)";"2021-07-25 16:03:11.568759";"Facebook:/<page-id>/posts";"Thinking of you today, Breonna. 🖤  Artwork by Amy Sherald";"{""name"": ""Michelle Obama"", ""id"": ""22092775577""}";"2021-06-05T16:12:38+0000";"2021-07-20T09:46:45+0000";"https://scontent.fdac23-1.fna.fbcdn.net/v/t1.6435-9/s720x720/197133155_10165422158825578_8053104324289599388_n.jpg?_nc_cat=105&ccb=1-3&_nc_sid=8024bb&_nc_eui2=AeE10BEOoZkuxjEX9MdwxXirwdPULoUsqajB09QuhSypqDwKpzFLsh1BwLqS1i-XIf6Eqlq0V4Kkif-Y0qIFNfe5&_nc_ohc=NjswXIHabNQAX_U6LL9&_nc_ht=scontent.fdac23-1.fna&oh=8182ccb185d792561d821edf2c2b5154&oe=612355C8";"3771";"13996";"266085";"182182";"80260";"164";"232";"3214";"33"
"1";"23";"1";"22092775577_10165415090880578";"data";"data.*";"fetched (200)";"2021-07-25 16:03:11.568759";"Facebook:/<page-id>/posts";"Happy birthday, Dr. Jill Biden! You’re such a great friend—and even better wife, mom, and grandmother. Thank you for leading with such grace and empathy, and for being so authentically you.   Here’s to more laughing, more singing, and good times in the months and years ahead. 💕";"{""name"": ""Michelle Obama"", ""id"": ""22092775577""}";"2021-06-03T20:31:57+0000";"2021-07-22T10:22:07+0000";"https://scontent.fdac23-1.fna.fbcdn.net/v/t1.6435-9/s720x720/195839714_10165415089845578_42393711095224712_n.jpg?_nc_cat=108&ccb=1-3&_nc_sid=8024bb&_nc_eui2=AeHoX2s6IZ0tjTYF5ogne8Lr5vsCHR2moxHm-wIdHaajEQMw3murHP1Jqeb5Rdb3LLH0VkRMbk_4-3csUbD6tzUI&_nc_ohc=qKWq1AaK-7AAX_8XjzJ&_nc_ht=scontent.fdac23-1.fna&oh=f8619eb93b6dd2fa7e52f917b8683600&oe=6121FEA1";"23177";"14792";"433260";"294185";"137956";"289";"755";"18";"57"
